strength,word
-3,2-faced
-3,2-faces
3,a+
-2,abandon
-2,abandoned
-2,abandons
-2,abducted
-2,abduction
-2,abductions
-3,abhor
-3,abhorred
-3,abhorrent
-3,abhors
2,abilities
2,ability
-3,abnormal
1,aboard
-3,abolish
-3,abominable
-3,abominably
-3,abominate
-3,abomination
-3,abort
-3,aborted
-3,aborts
3,abound
3,abounds
-3,abrade
-3,abrasive
-3,abrupt
-3,abruptly
-3,abscond
-3,absence
-3,absent-minded
-1,absentee
-1,absentees
2,absolve
2,absolved
2,absolves
2,absolving
1,absorbed
-3,absurd
-3,absurdity
-3,absurdly
-3,absurdness
3,abundance
3,abundant
-3,abuse
-3,abused
-3,abuses
-3,abusive
-3,abysmal
-3,abysmally
-3,abyss
1,accept
1,accepted
1,accepting
1,accepts
3,accessable
3,accessible
-2,accident
-2,accidental
-2,accidentally
-2,accidents
3,acclaim
3,acclaimed
3,acclamation
3,accolade
3,accolades
3,accommodative
3,accomodative
2,accomplish
2,accomplished
2,accomplishes
3,accomplishment
3,accomplishments
-3,accost
3,accurate
3,accurately
-3,accursed
-2,accusation
-2,accusations
-2,accuse
-2,accused
-2,accuses
-2,accusing
-3,accusingly
-3,acerbate
-3,acerbic
-3,acerbically
-2,ache
-3,ached
-3,aches
-3,achey
1,achievable
3,achievement
3,achievements
3,achievible
-2,aching
2,acquit
2,acquits
2,acquitted
2,acquitting
-3,acrid
-3,acridly
-3,acridness
-3,acrimonious
-3,acrimoniously
-3,acrimony
1,active
3,acumen
-3,adamant
-3,adamantly
3,adaptable
3,adaptive
-3,addict
-3,addicted
-3,addicting
-3,addicts
1,adequate
3,adjustable
3,admirable
3,admirably
3,admiration
3,admire
3,admired
3,admirer
3,admires
3,admiring
3,admiringly
-1,admit
-1,admits
-1,admitted
-2,admonish
-2,admonished
-3,admonisher
-3,admonishingly
-3,admonishment
-3,admonition
1,adopt
1,adopts
3,adorable
3,adore
3,adored
3,adorer
3,adores
3,adoring
3,adoringly
3,adroit
3,adroitly
3,adulate
3,adulation
3,adulatory
-3,adulterate
-3,adulterated
-3,adulteration
-3,adulterier
1,advanced
2,advantage
3,advantageous
3,advantageously
2,advantages
2,adventure
2,adventures
3,adventuresome
2,adventurous
-3,adversarial
-3,adversary
-3,adverse
-3,adversity
3,advocate
3,advocated
3,advocates
3,affability
3,affable
3,affably
3,affectation
-1,affected
3,affection
3,affectionate
3,affinity
3,affirm
3,affirmation
3,affirmative
-3,afflict
-1,afflicted
-3,affliction
-3,afflictive
3,affluence
3,affluent
3,afford
3,affordable
3,affordably
-3,affront
-1,affronted
3,afordable
-2,afraid
-2,aggravate
-2,aggravated
-2,aggravates
-2,aggravating
-3,aggravation
-2,aggression
-2,aggressions
-2,aggressive
-3,aggressiveness
-3,aggressor
-3,aggrieve
-3,aggrieved
-3,aggrivation
-2,aghast
3,agile
3,agilely
3,agility
2,agog
-3,agonies
-3,agonise
-3,agonised
-3,agonises
-3,agonising
-3,agonize
-3,agonized
-3,agonizes
-3,agonizing
-3,agonizingly
-3,agony
1,agree
2,agreeable
3,agreeableness
3,agreeably
1,agreed
1,agreement
1,agrees
